lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
,59,0.6721868515014648,0.7306841611862183,0.738203227519989,0.6194979548454285,0.7217169404029846,0.6984504461288452,0.6967899203300476,11,,,,,,,
,59,,,,,,,,11,0.6535253524780273,0.7079215049743652,0.6735243201255798,0.6553298830986023,0.718252420425415,0.684578537940979,0.6821886897087097
6.000000000000001e-07,60,,,,,,,,,,,,,,,
,64,0.6660560369491577,0.7116007804870605,0.6921894550323486,0.667061448097229,0.7253705859184265,0.6833267211914062,0.6909341812133789,12,,,,,,,
,64,,,,,,,,12,0.645402193069458,0.7109230160713196,0.6931052207946777,0.6561715602874756,0.7288349866867065,0.6722675561904907,0.6844508051872253
6.5e-07,65,,,,,,,,,,,,,,,
,69,0.6488099694252014,0.7379986643791199,0.6945577263832092,0.6326900720596313,0.7081669569015503,0.706028401851654,0.6880420446395874,13,,,,,,,
,69,,,,,,,,13,0.6347492933273315,0.7339529395103455,0.6746969223022461,0.6575126051902771,0.7095670104026794,0.6563262343406677,0.6778008341789246
7.000000000000001e-07,70,,,,,,,,,,,,,,,
,74,0.6479249000549316,0.7255743741989136,0.7011997699737549,0.6118832230567932,0.7080773711204529,0.649754524230957,0.6740691065788269,14,,,,,,,
,74,,,,,,,,14,0.6320425271987915,0.731956958770752,0.6556095480918884,0.6441744565963745,0.7209497690200806,0.6665596961975098,0.675215482711792
7.5e-07,75,,,,,,,,,,,,,,,
,79,0.6184521913528442,0.7041758894920349,0.646327793598175,0.646818995475769,0.7033851146697998,0.6913363337516785,0.6684160232543945,15,,,,,,,
,79,,,,,,,,15,0.6484977602958679,0.7083390355110168,0.6890518069267273,0.62330561876297,0.6866146922111511,0.6467649936676025,0.6670956611633301
8.000000000000001e-07,80,,,,,,,,,,,,,,,
,84,0.6546096205711365,0.7209478616714478,0.6545812487602234,0.6185107231140137,0.7058718204498291,0.6618913412094116,0.6694021224975586,16,,,,,,,
,84,,,,,,,,16,0.6071957945823669,0.7017639875411987,0.6433058381080627,0.6106258034706116,0.7042564749717712,0.6184499263763428,0.6475996375083923
8.500000000000001e-07,85,,,,,,,,,,,,,,,
,89,0.6278911828994751,0.7073565125465393,0.6171720027923584,0.6232517957687378,0.6759520173072815,0.6183575987815857,0.6449968814849854,17,,,,,,,
,89,,,,,,,,17,0.6321418285369873,0.6982190608978271,0.6343876123428345,0.5968855619430542,0.6860716938972473,0.6441231966018677,0.6486381888389587
9e-07,90,,,,,,,,,,,,,,,
,94,0.6374602913856506,0.6619423627853394,0.6471908688545227,0.5943100452423096,0.6671160459518433,0.6220684051513672,0.6383480429649353,18,,,,,,,
,94,,,,,,,,18,0.6029221415519714,0.698273241519928,0.6208228468894958,0.6002524495124817,0.6763494610786438,0.6297347545623779,0.638059139251709
9.5e-07,95,,,,,,,,,,,,,,,
,99,0.612321674823761,0.7076246738433838,0.6328315138816833,0.6013957858085632,0.6610229015350342,0.6182760000228882,0.6389120817184448,19,,,,,,,
,99,,,,,,,,19,0.5953137874603271,0.6777013540267944,0.6372976303100586,0.5871736407279968,0.6654745936393738,0.5867553353309631,0.6249527931213379
1.0000000000000002e-06,100,,,,,,,,,,,,,,,
